,World2018,National2018,World2019,National2019,World2020,National2020,Country,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,ground_truth
330,318.0,62.0,313.0,62.0,343,64.0,55,0,1,3,5.0,0,0.15904365904365902,0.10805300713557593,0.06769230769230769,0.7010101010101012,0.8601823708206688,0.5171717171717173,0
331,347.0,67.0,326.0,64.0,344,65.0,55,0,0,3,5.0,1,0.15696465696465692,0.16615698267074416,0.18564102564102566,0.4494949494949495,0.851063829787234,0.9373737373737375,0
332,364.0,4.0,370.0,3.0,345,2.0,0,0,1,1,4.0,1,0.14449064449064447,0.4322120285423038,0.9517948717948718,0.0010101010101010114,0.016210739614994932,0.12323232323232323,0
333,359.0,4.0,337.0,4.0,346,4.0,13,1,0,3,4.0,0,0.5360196618750404,0.4395802443347054,1.2675234733788519,0.6119368377922163,0.7838105905170327,0.4483004741558526,1
334,310.0,19.0,331.0,21.0,347,22.0,15,3,1,3,5.0,0,0.32224532224532215,0.29867482161060144,0.4071794871794872,0.19191919191919193,0.24822695035460995,0.08484848484848487,0
335,307.0,7.0,388.0,8.0,348,6.0,23,3,2,3,5.0,0,0.29937629937629934,0.5056065239551478,0.00717948717948718,0.5252525252525253,0.026342451874366766,0.29393939393939394,0
336,419.0,1.0,395.0,1.0,350,2.0,38,3,0,3,5.0,0,0.37941787941787936,0.4607543323139654,0.3712820512820513,0.05858585858585858,0.08004052684903748,0.11111111111111112,0
337,334.0,1.0,354.0,1.0,351,1.0,3,0,2,0,4.0,0,0.1476091476091476,0.31090723751274213,0.9405128205128205,0.007070707070707069,0.04255319148936171,0.197979797979798,0
338,237.0,7.0,289.0,9.0,352,10.0,14,3,1,3,1.0,0,0.42515592515592515,0.07543323139653416,0.1117948717948718,0.3252525252525253,0.24113475177304966,0.30101010101010106,0
339,302.0,1.0,328.0,1.0,353,2.0,39,0,1,3,5.0,0,0.3451143451143451,0.2273190621814475,0.1394871794871795,0.4686868686868687,0.04255319148936171,0.11818181818181818,0
340,393.0,73.0,347.0,69.0,354,66.0,55,0,1,3,5.0,0,0.13617463617463613,0.06320081549439348,0.6092307692307692,0.4444444444444445,0.243161094224924,0.11212121212121214,0
341,319.0,7.0,318.0,6.0,356,7.0,32,2,0,3,5.0,0,0.05093555093555092,0.08256880733944955,0.4256410256410256,0.37272727272727274,0.9584599797365756,0.987878787878788,0
342,369.0,1.0,386.0,1.0,357,1.0,37,3,1,2,5.0,0,0.31600831600831597,0.3832823649337411,0.6102564102564102,0.011111111111111112,0.005065856129685919,0.00505050505050505,0
343,311.0,3.0,361.0,3.0,358,3.0,5,3,1,3,4.0,0,0.5197505197505197,0.18042813455657494,0.19282051282051282,0.10606060606060608,0.05775075987841946,0.010101010101010102,0
344,346.0,42.0,332.0,41.0,359,42.0,54,0,0,3,4.0,0,0.08108108108108106,0.12945973496432214,0.13230769230769232,0.5616161616161617,0.9929078014184397,0.976767676767677,0
345,259.0,3.0,363.0,3.0,360,3.0,33,3,1,3,5.0,0,0.2744282744282744,0.24872579001019368,0.29128205128205126,0.26161616161616164,0.696048632218845,0.11919191919191922,0
346,383.0,71.0,349.0,70.0,361,67.0,55,0,1,3,4.0,0,0.1777546777546777,0.07849133537206932,0.33641025641025635,0.390909090909091,0.42147922998986825,0.788888888888889,0
